	orientation_at_TR	pos_in_ori_at_TR	direction_at_TR
0	-1.0	0.0	0.0
1	-1.0	0.0	1.0
2	-1.0	0.0	1.0
3	-1.0	0.0	0.0
4	-1.0	0.0	0.0
5	-1.0	0.0	0.0
6	-1.0	0.0	1.0
7	-1.0	0.0	1.0
8	-1.0	0.0	0.0
9	-1.0	0.0	1.0
10	-1.0	0.0	0.0
11	-1.0	0.0	0.0
12	-1.0	0.0	0.0
13	-1.0	0.0	0.0
14	-1.0	0.0	1.0
15	0.0	-486.0	0.0
16	-1.0	-434.842105	1.0
17	0.0	-383.684211	0.0
18	0.0	-332.526316	1.0
19	0.0	-281.368421	1.0
20	0.0	-230.210526	0.0
21	0.0	-179.052632	1.0
22	-1.0	-127.894737	0.0
23	0.0	-76.736842	1.0
24	0.0	-25.578947	0.0
25	0.0	25.578947	1.0
26	0.0	76.736842	0.0
27	0.0	127.894737	0.0
28	0.0	179.052632	0.0
29	0.0	230.210526	1.0
30	0.0	281.368421	1.0
31	0.0	332.526316	1.0
32	0.0	383.684211	1.0
33	-1.0	434.842105	1.0
34	0.0	486.0	1.0
35	90.0	-486.0	1.0
36	90.0	-434.842105	1.0
37	90.0	-383.684211	0.0
38	-1.0	-332.526316	1.0
39	90.0	-281.368421	1.0
40	90.0	-230.210526	1.0
41	90.0	-179.052632	1.0
42	90.0	-127.894737	1.0
43	90.0	-76.736842	0.0
44	90.0	-25.578947	0.0
45	90.0	25.578947	0.0
46	-1.0	76.736842	0.0
47	90.0	127.894737	1.0
48	90.0	179.052632	0.0
49	90.0	230.210526	1.0
50	-1.0	281.368421	1.0
51	90.0	332.526316	1.0
52	90.0	383.684211	0.0
53	90.0	434.842105	1.0
54	90.0	486.0	1.0
55	-1.0	0.0	0.0
56	-1.0	0.0	0.0
57	-1.0	0.0	0.0
58	-1.0	0.0	1.0
59	-1.0	0.0	1.0
60	-1.0	0.0	0.0
61	-1.0	0.0	1.0
62	-1.0	0.0	1.0
63	-1.0	0.0	1.0
64	-1.0	0.0	0.0
65	-1.0	0.0	0.0
66	-1.0	0.0	0.0
67	-1.0	0.0	0.0
68	-1.0	0.0	0.0
69	-1.0	0.0	0.0
70	180.0	-486.0	0.0
71	180.0	-434.842105	1.0
72	180.0	-383.684211	1.0
73	-1.0	-332.526316	0.0
74	180.0	-281.368421	1.0
75	180.0	-230.210526	0.0
76	180.0	-179.052632	0.0
77	180.0	-127.894737	0.0
78	-1.0	-76.736842	0.0
79	180.0	-25.578947	0.0
80	180.0	25.578947	0.0
81	180.0	76.736842	1.0
82	180.0	127.894737	0.0
83	180.0	179.052632	1.0
84	-1.0	230.210526	0.0
85	180.0	281.368421	1.0
86	180.0	332.526316	1.0
87	180.0	383.684211	0.0
88	180.0	434.842105	0.0
89	180.0	486.0	1.0
90	270.0	-486.0	0.0
91	270.0	-434.842105	1.0
92	270.0	-383.684211	1.0
93	270.0	-332.526316	0.0
94	-1.0	-281.368421	0.0
95	270.0	-230.210526	0.0
96	270.0	-179.052632	1.0
97	270.0	-127.894737	0.0
98	270.0	-76.736842	0.0
99	-1.0	-25.578947	1.0
100	270.0	25.578947	0.0
101	270.0	76.736842	0.0
102	270.0	127.894737	1.0
103	270.0	179.052632	1.0
104	270.0	230.210526	0.0
105	270.0	281.368421	1.0
106	-1.0	332.526316	1.0
107	270.0	383.684211	1.0
108	270.0	434.842105	0.0
109	270.0	486.0	0.0
110	-1.0	0.0	0.0
111	-1.0	0.0	0.0
112	-1.0	0.0	0.0
113	-1.0	0.0	1.0
114	-1.0	0.0	0.0
115	-1.0	0.0	0.0
116	-1.0	0.0	1.0
117	-1.0	0.0	1.0
118	-1.0	0.0	0.0
119	-1.0	0.0	1.0
120	-1.0	0.0	0.0
121	-1.0	0.0	0.0
122	-1.0	0.0	1.0
123	-1.0	0.0	1.0
124	-1.0	0.0	0.0
125	-1.0	0.0	0.0
126	-1.0	0.0	1.0
127	-1.0	0.0	1.0
128	-1.0	0.0	0.0
129	-1.0	0.0	0.0
130	-1.0	0.0	0.0
131	-1.0	0.0	1.0
132	-1.0	0.0	1.0
133	-1.0	0.0	0.0
134	-1.0	0.0	1.0
135	-1.0	0.0	0.0
136	-1.0	0.0	0.0
137	-1.0	0.0	0.0
138	-1.0	0.0	0.0
139	-1.0	0.0	1.0
140	0.0	-486.0	0.0
141	90.0	-179.052632	1.0
142	0.0	-383.684211	0.0
143	0.0	-332.526316	1.0
144	0.0	-281.368421	1.0
145	0.0	-230.210526	0.0
146	0.0	-179.052632	1.0
147	90.0	76.736842	0.0
148	0.0	-76.736842	1.0
149	0.0	-25.578947	0.0
150	0.0	25.578947	1.0
151	0.0	76.736842	0.0
152	0.0	127.894737	0.0
153	0.0	179.052632	0.0
154	0.0	230.210526	1.0
155	0.0	281.368421	1.0
156	0.0	332.526316	1.0
157	0.0	383.684211	1.0
158	90.0	179.052632	1.0
159	0.0	486.0	1.0
160	90.0	-486.0	1.0
161	90.0	-434.842105	1.0
162	90.0	-383.684211	0.0
163	0.0	-230.210526	1.0
164	90.0	-281.368421	1.0
165	90.0	-230.210526	1.0
166	90.0	-179.052632	1.0
167	90.0	-127.894737	1.0
168	90.0	-76.736842	0.0
169	90.0	-25.578947	0.0
170	90.0	25.578947	0.0
171	0.0	332.526316	0.0
172	90.0	127.894737	1.0
173	90.0	179.052632	0.0
174	90.0	230.210526	1.0
175	0.0	-25.578947	1.0
176	90.0	332.526316	1.0
177	90.0	383.684211	0.0
178	90.0	434.842105	1.0
179	90.0	486.0	1.0
180	-1.0	0.0	0.0
181	-1.0	0.0	0.0
182	-1.0	0.0	0.0
183	-1.0	0.0	1.0
184	-1.0	0.0	1.0
185	-1.0	0.0	0.0
186	-1.0	0.0	1.0
187	-1.0	0.0	1.0
188	-1.0	0.0	1.0
189	-1.0	0.0	0.0
190	-1.0	0.0	0.0
191	-1.0	0.0	0.0
192	-1.0	0.0	0.0
193	-1.0	0.0	0.0
194	-1.0	0.0	0.0
195	180.0	-486.0	0.0
196	180.0	-434.842105	1.0
197	180.0	-383.684211	1.0
198	90.0	434.842105	0.0
199	180.0	-281.368421	1.0
200	180.0	-230.210526	0.0
201	180.0	-179.052632	0.0
202	180.0	-127.894737	0.0
203	90.0	-332.526316	0.0
204	180.0	-25.578947	0.0
205	180.0	25.578947	0.0
206	180.0	76.736842	1.0
207	180.0	127.894737	0.0
208	180.0	179.052632	1.0
209	90.0	230.210526	0.0
210	180.0	281.368421	1.0
211	180.0	332.526316	1.0
212	180.0	383.684211	0.0
213	180.0	434.842105	0.0
214	180.0	486.0	1.0
215	270.0	-486.0	0.0
216	270.0	-434.842105	1.0
217	270.0	-383.684211	1.0
218	270.0	-332.526316	0.0
219	0.0	-383.684211	0.0
220	270.0	-230.210526	0.0
221	270.0	-179.052632	1.0
222	270.0	-127.894737	0.0
223	270.0	-76.736842	0.0
224	0.0	434.842105	1.0
225	270.0	25.578947	0.0
226	270.0	76.736842	0.0
227	270.0	127.894737	1.0
228	270.0	179.052632	1.0
229	270.0	230.210526	0.0
230	270.0	281.368421	1.0
231	0.0	-281.368421	1.0
232	270.0	383.684211	1.0
233	270.0	434.842105	0.0
234	270.0	486.0	0.0
235	-1.0	0.0	0.0
236	-1.0	0.0	0.0
237	-1.0	0.0	0.0
238	-1.0	0.0	1.0
239	-1.0	0.0	0.0
240	-1.0	0.0	0.0
241	-1.0	0.0	1.0
242	-1.0	0.0	1.0
243	-1.0	0.0	0.0
244	-1.0	0.0	1.0
245	-1.0	0.0	0.0
246	-1.0	0.0	0.0
247	-1.0	0.0	1.0
248	-1.0	0.0	1.0
249	-1.0	0.0	0.0
250	-1.0	0.0	0.0
251	-1.0	0.0	1.0
252	-1.0	0.0	1.0
253	-1.0	0.0	0.0
254	-1.0	0.0	0.0
255	-1.0	0.0	0.0
256	-1.0	0.0	1.0
257	-1.0	0.0	1.0
258	-1.0	0.0	0.0
259	-1.0	0.0	1.0
260	-1.0	0.0	0.0
261	-1.0	0.0	0.0
262	-1.0	0.0	0.0
263	-1.0	0.0	0.0
264	-1.0	0.0	1.0
265	-1.0	-486.0	0.0
266	90.0	-179.052632	1.0
267	-1.0	-383.684211	0.0
268	-1.0	-332.526316	1.0
269	-1.0	-281.368421	1.0
270	-1.0	-230.210526	0.0
271	-1.0	-179.052632	1.0
272	90.0	76.736842	0.0
273	-1.0	-76.736842	1.0
274	-1.0	-25.578947	0.0
275	-1.0	25.578947	1.0
276	-1.0	76.736842	0.0
277	-1.0	127.894737	0.0
278	-1.0	179.052632	0.0
279	-1.0	230.210526	1.0
280	-1.0	281.368421	1.0
281	-1.0	332.526316	1.0
282	-1.0	383.684211	1.0
283	90.0	179.052632	1.0
284	-1.0	486.0	1.0
285	-1.0	-486.0	1.0
286	-1.0	-434.842105	1.0
287	-1.0	-383.684211	0.0
288	0.0	-230.210526	1.0
289	-1.0	-281.368421	1.0
290	-1.0	-230.210526	1.0
291	-1.0	-179.052632	1.0
292	-1.0	-127.894737	1.0
293	-1.0	-76.736842	0.0
294	-1.0	-25.578947	0.0
295	-1.0	25.578947	0.0
296	0.0	332.526316	0.0
297	-1.0	127.894737	1.0
298	-1.0	179.052632	0.0
299	-1.0	230.210526	1.0
300	0.0	-25.578947	1.0
301	-1.0	332.526316	1.0
302	-1.0	383.684211	0.0
303	-1.0	434.842105	1.0
304	-1.0	486.0	1.0
305	-1.0	0.0	0.0
306	-1.0	0.0	0.0
307	-1.0	0.0	0.0
308	-1.0	0.0	1.0
309	-1.0	0.0	1.0
310	-1.0	0.0	0.0
311	-1.0	0.0	1.0
312	-1.0	0.0	1.0
313	-1.0	0.0	1.0
314	-1.0	0.0	0.0
315	-1.0	0.0	0.0
316	-1.0	0.0	0.0
317	-1.0	0.0	0.0
318	-1.0	0.0	0.0
319	-1.0	0.0	0.0
320	-1.0	-486.0	0.0
321	-1.0	-434.842105	1.0
322	-1.0	-383.684211	1.0
323	90.0	434.842105	0.0
324	-1.0	-281.368421	1.0
325	-1.0	-230.210526	0.0
326	-1.0	-179.052632	0.0
327	-1.0	-127.894737	0.0
328	90.0	-332.526316	0.0
329	-1.0	-25.578947	0.0
330	-1.0	25.578947	0.0
331	-1.0	76.736842	1.0
332	-1.0	127.894737	0.0
333	-1.0	179.052632	1.0
334	90.0	230.210526	0.0
335	-1.0	281.368421	1.0
336	-1.0	332.526316	1.0
337	-1.0	383.684211	0.0
338	-1.0	434.842105	0.0
339	-1.0	486.0	1.0
340	-1.0	-486.0	0.0
341	-1.0	-434.842105	1.0
342	-1.0	-383.684211	1.0
343	-1.0	-332.526316	0.0
344	0.0	-383.684211	0.0
345	-1.0	-230.210526	0.0
346	-1.0	-179.052632	1.0
347	-1.0	-127.894737	0.0
348	-1.0	-76.736842	0.0
349	0.0	434.842105	1.0
350	-1.0	25.578947	0.0
351	-1.0	76.736842	0.0
352	-1.0	127.894737	1.0
353	-1.0	179.052632	1.0
354	-1.0	230.210526	0.0
355	-1.0	281.368421	1.0
356	0.0	-281.368421	1.0
357	-1.0	383.684211	1.0
358	-1.0	434.842105	0.0
359	-1.0	486.0	0.0
360	-1.0	0.0	0.0
361	-1.0	0.0	0.0
362	-1.0	0.0	0.0
363	-1.0	0.0	1.0
364	-1.0	0.0	0.0
365	-1.0	0.0	0.0
366	-1.0	0.0	1.0
367	-1.0	0.0	1.0
368	-1.0	0.0	0.0
369	-1.0	0.0	1.0
370	-1.0	0.0	0.0
371	-1.0	0.0	0.0
372	-1.0	0.0	1.0
373	-1.0	0.0	1.0
374	-1.0	0.0	0.0
